unique_id,date,address
gmb-2022-221865,17-05-2022,"De Genestetstraat 14-3, Amsterdam, Netherlands"
gmb-2022-221624,17-05-2022,"Welnastraat 344, Amsterdam, Netherlands"
gmb-2022-221846,17-05-2022,"Geuzenstraat 44-1, Amsterdam, Netherlands"
gmb-2022-221808,17-05-2022,"Minahassastraat 10A, Amsterdam, Netherlands"
gmb-2022-221897,17-05-2022,"Erasmusgracht 65-2, Amsterdam, Netherlands"
gmb-2022-221656,17-05-2022,"Pedro de Medinalaan 150, Amsterdam, Netherlands"
gmb-2022-221878,17-05-2022,"Frederiksstraat 12-2, Amsterdam, Netherlands"
gmb-2022-221637,17-05-2022,"Granidastraat 66-1, Amsterdam, Netherlands"
gmb-2022-221859,17-05-2022,"Borneokade 54, Amsterdam, Netherlands"
gmb-2022-221700,17-05-2022,"Knollendamstraat 4-3, Amsterdam, Netherlands"
gmb-2022-219563,17-05-2022,"Warmondstraat 178, Amsterdam, Netherlands"
gmb-2022-221903,17-05-2022,"Van Bossestraat 40-3, Amsterdam, Netherlands"
gmb-2022-221688,17-05-2022,"Sassenheimstraat 24-1, Amsterdam, Netherlands"
gmb-2022-221732,17-05-2022,"Tweede Oosterparkstraat 213-2, Amsterdam, Netherlands"
gmb-2022-221713,17-05-2022,"Spaarndammerstraat 22C, Amsterdam, Netherlands"
gmb-2022-219576,17-05-2022,"Kotteraarstraat 28, Amsterdam, Netherlands"
gmb-2022-219557,17-05-2022,"Hegeraatstraat 52, Amsterdam, Netherlands"
gmb-2022-221783,17-05-2022,"Kanaalstraat 135-1, Amsterdam, Netherlands"
gmb-2022-221745,17-05-2022,"Willy Sluiterstraat 126, Amsterdam, Netherlands"
gmb-2022-221726,17-05-2022,"Haarlemmerweg 495E, Amsterdam, Netherlands"
gmb-2022-221777,17-05-2022,"Oostzaanstraat 48, Amsterdam, Netherlands"
gmb-2022-221758,17-05-2022,"Tweede Oosterparkstraat 137B, Amsterdam, Netherlands"
gmb-2022-221840,17-05-2022,"Levantkade 169, Amsterdam, Netherlands"
gmb-2022-221739,17-05-2022,"Ben van Meerendonkstraat 138, Amsterdam, Netherlands"
gmb-2022-221821,17-05-2022,"Barbusselaan 122, Amsterdam, Netherlands"
gmb-2022-221802,17-05-2022,"Hoofdweg 455-3, Amsterdam, Netherlands"
gmb-2022-221891,17-05-2022,"Lange Stammerdijk 23, Amsterdam, Netherlands"
gmb-2022-221650,17-05-2022,"Amsteldijk 112-1, Amsterdam, Netherlands"
gmb-2022-221631,17-05-2022,"Roggeveenstraat 141, Amsterdam, Netherlands"
gmb-2022-221853,17-05-2022,"Kinkerstraat 354-4, Amsterdam, Netherlands"
gmb-2022-221612,17-05-2022,"Vincent van Goghstraat 6A, Amsterdam, Netherlands"
gmb-2022-221834,17-05-2022,"Wilhelminastraat 39-3, Amsterdam, Netherlands"
gmb-2022-221815,17-05-2022,"Nickeriestraat 17, Amsterdam, Netherlands"
gmb-2022-221682,17-05-2022,"Tuin van Hera 23, Amsterdam, Netherlands"
gmb-2022-221663,17-05-2022,"Kromme Leimuidenstraat 7-2, Amsterdam, Netherlands"
gmb-2022-221885,17-05-2022,"Bestevâerstraat 250, Amsterdam, Netherlands"
gmb-2022-221644,17-05-2022,"J. de Koostraat 36D, Amsterdam, Netherlands"
gmb-2022-221866,17-05-2022,"Sassenheimstraat 22-H, Amsterdam, Netherlands"
gmb-2022-221847,17-05-2022,"Slatuinenweg 51, Amsterdam, Netherlands"
