unique_id,date,address
gmb-2021-388480,02-11-2021,"Nieuwe Achtergracht 18-2, Amsterdam, Netherlands"
gmb-2021-388461,02-11-2021,"Van Ostadestraat 286-3, Amsterdam, Netherlands"
gmb-2021-388493,02-11-2021,"Javastraat 66-4, Amsterdam, Netherlands"
gmb-2021-388474,02-11-2021,"Aalsmeerweg 125-3, Amsterdam, Netherlands"
gmb-2021-388455,02-11-2021,"Jan van Galenstraat 170-3, Amsterdam, Netherlands"
gmb-2021-388487,02-11-2021,"geen 'verleend', Amsterdam, Netherlands"
gmb-2021-388468,02-11-2021,"Oosterpark 85-1, Amsterdam, Netherlands"
gmb-2021-388550,02-11-2021,"Linnaeusparkweg 111 3, Amsterdam, Netherlands"
gmb-2021-388531,02-11-2021,"Ten Katestraat 59-4, Amsterdam, Netherlands"
gmb-2021-388512,02-11-2021,"Deurloostraat 35-2, Amsterdam, Netherlands"
gmb-2021-388544,02-11-2021,"Hoofdweg 322-2, Amsterdam, Netherlands"
gmb-2021-388525,02-11-2021,"De Wittenstraat 74-2, Amsterdam, Netherlands"
gmb-2021-388506,02-11-2021,"Brederodestraat 50-2, Amsterdam, Netherlands"
gmb-2021-388538,02-11-2021,"geen 'verleend', Amsterdam, Netherlands"
gmb-2021-388519,02-11-2021,"Govert Flinckstraat 271-2, Amsterdam, Netherlands"
gmb-2021-388481,02-11-2021,"Gillis van Ledenberchstraat 46-2, Amsterdam, Netherlands"
gmb-2021-388462,02-11-2021,"Van Hogendorpstraat 158-3, Amsterdam, Netherlands"
gmb-2021-388494,02-11-2021,"Pieter van der Doesstraat 36-1, Amsterdam, Netherlands"
gmb-2021-388475,02-11-2021,"Baarsjesweg 276-2, Amsterdam, Netherlands"
gmb-2021-388456,02-11-2021,"Van Oldenbarneveldtstraat 64-2, Amsterdam, Netherlands"
gmb-2021-388500,02-11-2021,"Bilderdijkkade 31-1, Amsterdam, Netherlands"
gmb-2021-388488,02-11-2021,"Daniël Stalpertstraat 27-3, Amsterdam, Netherlands"
gmb-2021-388469,02-11-2021,"Kometensingel 110-1, Amsterdam, Netherlands"
gmb-2021-388532,02-11-2021,"Olympiaweg 28-2, Amsterdam, Netherlands"
gmb-2021-388513,02-11-2021,"De Wittenkade 92-1, Amsterdam, Netherlands"
gmb-2021-388545,02-11-2021,"Gerard Schaepstraat 14-2, Amsterdam, Netherlands"
gmb-2021-388526,02-11-2021,"Katwijkstraat 20-2, Amsterdam, Netherlands"
gmb-2021-388507,02-11-2021,"Roelof Hartplein 7-2, Amsterdam, Netherlands"
gmb-2021-388539,02-11-2021,"Oude Waal 37-3, Amsterdam, Netherlands"
gmb-2021-388482,02-11-2021,"Biesboschstraat 5-3, Amsterdam, Netherlands"
gmb-2021-388463,02-11-2021,"Weissenbruchstraat 41-2, Amsterdam, Netherlands"
gmb-2021-388495,02-11-2021,"De Genestetstraat 6-1, Amsterdam, Netherlands"
gmb-2021-388476,02-11-2021,"Da Costastraat 51-3, Amsterdam, Netherlands"
gmb-2021-388457,02-11-2021,"Sanderijnstraat 9-1, Amsterdam, Netherlands"
gmb-2021-388520,02-11-2021,"Prinsengracht 733-2, Amsterdam, Netherlands"
