unique_id,date,address
gmb-2023-132792,28-03-2023,"Van Speijkstraat 145-3, Amsterdam, Netherlands"
gmb-2023-134668,28-03-2023,"Lauriergracht 125-2, Amsterdam, Netherlands"
gmb-2023-134649,28-03-2023,"Biesboschstraat 19-1, Amsterdam, Netherlands"
gmb-2023-132787,28-03-2023,"Hof van Eden 11, Amsterdam, Netherlands"
gmb-2023-132768,28-03-2023,"Lijzijde 5, Amsterdam, Netherlands"
gmb-2023-134637,28-03-2023,"Kwakersplein 9-2, Amsterdam, Netherlands"
gmb-2023-132812,28-03-2023,"Houtrijkstraat 302, Amsterdam, Netherlands"
gmb-2023-132641,28-03-2023,"Oostzanerdijk 98, Amsterdam, Netherlands"
gmb-2023-132825,28-03-2023,"Luzacstraat 9-1, Amsterdam, Netherlands"
gmb-2023-132654,28-03-2023,"Oosterlengte 24, Amsterdam, Netherlands"
gmb-2023-132629,28-03-2023,"Korte Blekersstraat 1, Amsterdam, Netherlands"
gmb-2023-132705,28-03-2023,"Piri Reisplein 57, Amsterdam, Netherlands"
gmb-2023-132800,28-03-2023,"Javastraat 138D, Amsterdam, Netherlands"
gmb-2023-134657,28-03-2023,"De Wittenkade 160W, Amsterdam, Netherlands"
gmb-2023-134638,28-03-2023,"Borneokade 54, Amsterdam, Netherlands"
gmb-2023-134701,28-03-2023,"Brederodestraat 68-3, Amsterdam, Netherlands"
gmb-2023-132826,28-03-2023,"Brandewijnsteeg 37, Amsterdam, Netherlands"
gmb-2023-134714,28-03-2023,"Quellijnstraat 150-2, Amsterdam, Netherlands"
gmb-2023-134562,28-03-2023,"Bilderdijkkade 139, Amsterdam, Netherlands"
gmb-2023-134575,28-03-2023,"Waalstraat 89-2, Amsterdam, Netherlands"
gmb-2023-134588,28-03-2023,"Spaarndammerstraat 66-1, Amsterdam, Netherlands"
gmb-2023-134670,28-03-2023,"Bonairestraat 13-2, Amsterdam, Netherlands"
gmb-2023-132706,28-03-2023,"Hoofdweg 362-2, Amsterdam, Netherlands"
gmb-2023-132618,28-03-2023,"Derde Oosterparkstraat 346, Amsterdam, Netherlands"
gmb-2023-134652,28-03-2023,"Haarlemmerdijk 107C, Amsterdam, Netherlands"
gmb-2023-134665,28-03-2023,"Legmeerplein 32-3, Amsterdam, Netherlands"
gmb-2023-132802,28-03-2023,"Faas Wilkesstraat 293, Amsterdam, Netherlands"
gmb-2023-132815,28-03-2023,"Osdorper Ban 786, Amsterdam, Netherlands"
gmb-2023-132638,28-03-2023,"Achillesstraat 128-H, Amsterdam, Netherlands"
gmb-2023-132771,28-03-2023,"Overtoom 503-1, Amsterdam, Netherlands"
gmb-2023-130260,27-03-2023,"Rozenstraat 80F, Amsterdam, Netherlands"
gmb-2023-127989,24-03-2023,"Burgemeester Tellegenstraat 7-1, Amsterdam, Netherlands"
gmb-2023-128074,24-03-2023,"Buiksloterweg 17, Amsterdam, Netherlands"
gmb-2023-128055,24-03-2023,"Zacharias Jansestraat 25 H, Amsterdam, Netherlands"
gmb-2023-128087,24-03-2023,"Jacob van Lennepkade 418-3, Amsterdam, Netherlands"
gmb-2023-127894,24-03-2023,"Cornelis Anthoniszstraat 71-2, Amsterdam, Netherlands"
gmb-2023-127875,24-03-2023,"Alexanderkade 15-3, Amsterdam, Netherlands"
gmb-2023-127869,24-03-2023,"Merwedeplein 14-1, Amsterdam, Netherlands"
gmb-2023-127951,24-03-2023,"Rhijnvis Feithstraat 26-2, Amsterdam, Netherlands"
gmb-2023-127964,24-03-2023,"Boomstraat 21-3, Amsterdam, Netherlands"
gmb-2023-127926,24-03-2023,"Spreeuwenpark 12-2, Amsterdam, Netherlands"
gmb-2023-128030,24-03-2023,"Nieuwe Teertuinen 37, Amsterdam, Netherlands"
gmb-2023-127977,24-03-2023,"Stadhouderskade 73-H, Amsterdam, Netherlands"
gmb-2023-127958,24-03-2023,"Nieuwe Achtergracht 81-3, Amsterdam, Netherlands"
gmb-2023-128081,24-03-2023,"IJburglaan 364, Amsterdam, Netherlands"
gmb-2023-127939,24-03-2023,"Wilhelminastraat 64 H, Amsterdam, Netherlands"
gmb-2023-128094,24-03-2023,"Madurastraat 8C, Amsterdam, Netherlands"
gmb-2023-128075,24-03-2023,"Vespuccistraat 81-2, Amsterdam, Netherlands"
gmb-2023-128056,24-03-2023,"Overtoom 128 H, Amsterdam, Netherlands"
gmb-2023-128088,24-03-2023,"Woubruggestraat 20 H, Amsterdam, Netherlands"
gmb-2023-127920,24-03-2023,"Balthasar Floriszstraat 35 H, Amsterdam, Netherlands"
gmb-2023-127990,24-03-2023,"Rozenstraat 2, Amsterdam, Netherlands"
gmb-2023-127889,24-03-2023,"Jan Vroegopsingel 2G, Amsterdam, Netherlands"
gmb-2023-127914,24-03-2023,"Geerdinkhof 8, Amsterdam, Netherlands"
gmb-2023-127965,24-03-2023,"Nieuwendammerdijk 475, Amsterdam, Netherlands"
gmb-2023-127927,24-03-2023,"Palmgracht 65-2, Amsterdam, Netherlands"
gmb-2023-128050,24-03-2023,"Domselaerstraat 45-2, Amsterdam, Netherlands"
gmb-2023-128025,24-03-2023,"Van Hogendorpstraat 155-4, Amsterdam, Netherlands"
gmb-2023-128006,24-03-2023,"Groenmarktkade 1-4, Amsterdam, Netherlands"
gmb-2023-128057,24-03-2023,"Eerste Jan van der Heijdenstraat 139-H, Amsterdam, Netherlands"
gmb-2023-127940,24-03-2023,"Wethouder Frankeweg 35-H, Amsterdam, Netherlands"
gmb-2023-127915,24-03-2023,"Nova Zemblastraat 495C, Amsterdam, Netherlands"
gmb-2023-127928,24-03-2023,"Nieuwe Prinsengracht 12G, Amsterdam, Netherlands"
