unique_id,date,address
gmb-2022-416855,19-09-2022,"Bonairestraat 14-2, Amsterdam, Netherlands"
gmb-2022-416951,19-09-2022,"Vaartstraat 16-2, Amsterdam, Netherlands"
gmb-2022-416953,19-09-2022,"Potgieterstraat 49-1, Amsterdam, Netherlands"
gmb-2022-416937,19-09-2022,"Bilderdijkkade 34-1, Amsterdam, Netherlands"
gmb-2022-417812,19-09-2022,
gmb-2022-412470,15-09-2022,"Bankastraat 61D, Amsterdam, Netherlands"
gmb-2022-412540,15-09-2022,"Geuzenstraat 42-3, Amsterdam, Netherlands"
gmb-2022-412566,15-09-2022,"Jacob van Lennepkade 249C, Amsterdam, Netherlands"
gmb-2022-412547,15-09-2022,"Distelweg 48, Amsterdam, Netherlands"
gmb-2022-412579,15-09-2022,"Bentinckstraat 14-3, Amsterdam, Netherlands"
gmb-2022-412484,15-09-2022,"Frieslandstraat 4, Amsterdam, Netherlands"
gmb-2022-412497,15-09-2022,"Kinkerstraat 318-4, Amsterdam, Netherlands"
gmb-2022-412548,15-09-2022,"Weesperzijde 1036, Amsterdam, Netherlands"
gmb-2022-412491,15-09-2022,"Kamperfoelieweg 114, Amsterdam, Netherlands"
gmb-2022-412498,15-09-2022,"Maanhof 17, Amsterdam, Netherlands"
gmb-2022-412574,15-09-2022,"Orteliusstraat 237-2, Amsterdam, Netherlands"
gmb-2022-412536,15-09-2022,"President Brandstraat 154, Amsterdam, Netherlands"
gmb-2022-412486,15-09-2022,"Wolvenstraat 19-2, Amsterdam, Netherlands"
gmb-2022-412499,15-09-2022,"Commelinstraat 234, Amsterdam, Netherlands"
gmb-2022-412537,15-09-2022,"Vosmaerstraat 4-3, Amsterdam, Netherlands"
gmb-2022-412493,15-09-2022,"Tweede Egelantiersdwarsstraat 65, Amsterdam, Netherlands"
gmb-2022-412468,15-09-2022,"Frederik Hendrikstraat 125-3, Amsterdam, Netherlands"
gmb-2022-412550,15-09-2022,"Nicolaas Beetsstraat 114-1, Amsterdam, Netherlands"
gmb-2022-412525,15-09-2022,"Van Nijenrodeweg 41, Amsterdam, Netherlands"
gmb-2022-412576,15-09-2022,"U.J. Klarenstraat 31, Amsterdam, Netherlands"
gmb-2022-412481,15-09-2022,"Gouden Leeuw 930, Amsterdam, Netherlands"
gmb-2022-412469,15-09-2022,"Bezaanjachtplein 51, Amsterdam, Netherlands"
gmb-2022-412513,15-09-2022,"Reguliersgracht 37, Amsterdam, Netherlands"
gmb-2022-412558,15-09-2022,"Sumatrastraat 203E, Amsterdam, Netherlands"
gmb-2022-412482,15-09-2022,"De Genestetstraat 6-1, Amsterdam, Netherlands"
