unique_id,date,address
gmb-2023-283606,29-06-2023,"Groen van Prinstererstr 78 H, Amsterdam, Netherlands"
gmb-2023-283207,29-06-2023,"Van Bossestraat 45-1, Amsterdam, Netherlands"
gmb-2023-283340,29-06-2023,"Agatha Dekenstraat 38-3, Amsterdam, Netherlands"
gmb-2023-283239,29-06-2023,"Loodskotterhof 45, Amsterdam, Netherlands"
gmb-2023-278565,27-06-2023,"Wethouder Van Wijckstraat 34, Amsterdam, Netherlands"
gmb-2023-278464,27-06-2023,"Bestevâerstraat 3-1, Amsterdam, Netherlands"
gmb-2023-278521,27-06-2023,"Kerkstraat 268-1, Amsterdam, Netherlands"
gmb-2023-278465,27-06-2023,"Nachtwachtlaan 267, Amsterdam, Netherlands"
gmb-2023-278522,27-06-2023,"Bastingstraat 11, Amsterdam, Netherlands"
gmb-2023-278535,27-06-2023,"Wilhelminastraat 166-2, Amsterdam, Netherlands"
gmb-2023-278466,27-06-2023,"Fonteinkruidstraat 62, Amsterdam, Netherlands"
gmb-2023-278537,27-06-2023,"Eikenweg 72-3, Amsterdam, Netherlands"
gmb-2023-278480,27-06-2023,"De Clercqstraat 68-2, Amsterdam, Netherlands"
gmb-2023-278526,27-06-2023,"Emanuel van Meterenstraat 23, Amsterdam, Netherlands"
gmb-2023-278463,27-06-2023,"Eerste Helmersstraat 287-H, Amsterdam, Netherlands"
gmb-2023-276220,26-06-2023,"Elandsgracht 116-2, Amsterdam, Netherlands"
gmb-2023-276271,26-06-2023,"Rapenburg 103-2, Amsterdam, Netherlands"
gmb-2023-276208,26-06-2023,"C. van Eesterenlaan 264, Amsterdam, Netherlands"
gmb-2023-276297,26-06-2023,"Leen Jongewaardkade 7, Amsterdam, Netherlands"
gmb-2023-276253,26-06-2023,"Bloys van Treslongstraat 38-1, Amsterdam, Netherlands"
gmb-2023-276310,26-06-2023,"Van Rensselaerstraat 35-H, Amsterdam, Netherlands"
gmb-2023-276342,26-06-2023,"Plantage Badlaan 8A, Amsterdam, Netherlands"
gmb-2023-276203,26-06-2023,"Boterdiepstraat 57-H, Amsterdam, Netherlands"
gmb-2023-276248,26-06-2023,"Curaçaostraat 100-1, Amsterdam, Netherlands"
gmb-2023-276356,26-06-2023,"Loenermark 272, Amsterdam, Netherlands"
gmb-2023-276198,26-06-2023,"Jekerstraat 61-H, Amsterdam, Netherlands"
gmb-2023-276223,26-06-2023,"Czaar Peterstraat 170C, Amsterdam, Netherlands"
gmb-2023-276293,26-06-2023,"Schipluidenlaan 220, Amsterdam, Netherlands"
gmb-2023-276287,26-06-2023,"Palestrinastraat 17-3, Amsterdam, Netherlands"
gmb-2023-276350,26-06-2023,"Slootdorpstraat 150, Amsterdam, Netherlands"
gmb-2023-276312,26-06-2023,"Fort Veldhuissingel 24, Amsterdam, Netherlands"
gmb-2023-276306,26-06-2023,"Lumeijstraat 3-1, Amsterdam, Netherlands"
gmb-2023-276205,26-06-2023,"Egelantiersgracht 386, Amsterdam, Netherlands"
gmb-2023-276237,26-06-2023,"Van Oldenbarneveldtstr 87 B 2, Amsterdam, Netherlands"
gmb-2023-276269,26-06-2023,"Wethouder Frankeweg 3-H, Amsterdam, Netherlands"
gmb-2023-276289,26-06-2023,"Barentszstraat 115, Amsterdam, Netherlands"
gmb-2023-276270,26-06-2023,"Jacob Obrechtstraat 42-1, Amsterdam, Netherlands"
gmb-2023-276232,26-06-2023,"Pieter Holmstraat 8, Amsterdam, Netherlands"
gmb-2023-276264,26-06-2023,"Piet Gijzenbrugstraat 47, Amsterdam, Netherlands"
gmb-2023-276277,26-06-2023,"Corantijnstraat 7-3, Amsterdam, Netherlands"
gmb-2023-276302,26-06-2023,"Tweede Jan van der Heijdenstraat 67-3, Amsterdam, Netherlands"
gmb-2023-274174,23-06-2023,"Madurastraat 47-3, Amsterdam, Netherlands"
gmb-2023-274087,23-06-2023,"Ben Viljoenstraat 43, Amsterdam, Netherlands"
gmb-2023-274132,23-06-2023,"Jan Hanzenstraat 78D, Amsterdam, Netherlands"
gmb-2023-274215,23-06-2023,"Smaragdstraat 57, Amsterdam, Netherlands"
gmb-2023-274121,23-06-2023,"Ariana Nozemanstraat 53, Amsterdam, Netherlands"
gmb-2023-274217,23-06-2023,"Zeeburgerdijk 112H, Amsterdam, Netherlands"
gmb-2023-267548,20-06-2023,"Zocherstraat 17-3, Amsterdam, Netherlands"
gmb-2023-267421,20-06-2023,"Coöperatiehof 20, Amsterdam, Netherlands"
gmb-2023-267542,20-06-2023,"Mercatorstraat 93-2, Amsterdam, Netherlands"
gmb-2023-269177,20-06-2023,"Reinaert de Vosstraat 23-1, Amsterdam, Netherlands"
gmb-2023-267416,20-06-2023,"Albert Luthulistraat 20A, Amsterdam, Netherlands"
gmb-2023-267511,20-06-2023,"Joan Melchior Kemperstraat 75-3, Amsterdam, Netherlands"
gmb-2023-267423,20-06-2023,"Ten Katestraat 18-2, Amsterdam, Netherlands"
gmb-2023-267474,20-06-2023,"Van Bossestraat 26-1, Amsterdam, Netherlands"
gmb-2023-269166,20-06-2023,"Vrolikstraat 220-1, Amsterdam, Netherlands"
gmb-2023-267506,20-06-2023,"Winterjanpad 132, Amsterdam, Netherlands"
gmb-2023-269204,20-06-2023,"Dijkwater 161, Amsterdam, Netherlands"
gmb-2023-267399,20-06-2023,"Nieuwe Egelantiersstraat 2C, Amsterdam, Netherlands"
gmb-2023-267475,20-06-2023,"Kromme Waal 22-3, Amsterdam, Netherlands"
gmb-2023-267564,20-06-2023,"Geuzenstraat 73-2, Amsterdam, Netherlands"
gmb-2023-267545,20-06-2023,"Jan Hanzenstraat 30-1, Amsterdam, Netherlands"
gmb-2023-267507,20-06-2023,"Schoorlstraat 157, Amsterdam, Netherlands"
gmb-2023-267539,20-06-2023,"Werengouw 47, Amsterdam, Netherlands"
gmb-2023-269205,20-06-2023,"Saffierstraat 122, Amsterdam, Netherlands"
gmb-2023-267419,20-06-2023,"Argonautenstraat 41-1, Amsterdam, Netherlands"
gmb-2023-269130,20-06-2023,"Haarlemmerweg 55-1, Amsterdam, Netherlands"
gmb-2023-267534,20-06-2023,"Vrolikstraat 214-1, Amsterdam, Netherlands"
gmb-2023-269200,20-06-2023,"Wenslauerstraat 14D, Amsterdam, Netherlands"
gmb-2023-269112,20-06-2023,"Stuyvesantstraat 54-2, Amsterdam, Netherlands"
gmb-2023-264953,19-06-2023,"Linnaeusparkweg 114-2, Amsterdam, Netherlands"
gmb-2023-264928,19-06-2023,"Pieter Nieuwlandstraat 18C, Amsterdam, Netherlands"
gmb-2023-265013,19-06-2023,"Bloys van Treslongstraat 24-1, Amsterdam, Netherlands"
gmb-2023-264891,19-06-2023,"Weesperzijde 104-2, Amsterdam, Netherlands"
gmb-2023-264885,19-06-2023,"Insulindeweg 647, Amsterdam, Netherlands"
gmb-2023-264942,19-06-2023,"Vespuccistraat 126-2, Amsterdam, Netherlands"
gmb-2023-264917,19-06-2023,"Zwanebloemlaan 190, Amsterdam, Netherlands"
gmb-2023-264968,19-06-2023,"Westerkade 11F, Amsterdam, Netherlands"
gmb-2023-264956,19-06-2023,"Kanaalstraat 65C, Amsterdam, Netherlands"
gmb-2023-264982,19-06-2023,"Albert Cuypstraat 239-2A, Amsterdam, Netherlands"
gmb-2023-264958,19-06-2023,"Prinsengracht 364-2, Amsterdam, Netherlands"
gmb-2023-264965,19-06-2023,"Woestduinstraat 71-H, Amsterdam, Netherlands"
gmb-2023-264959,19-06-2023,"Sanderijnstraat 41-H, Amsterdam, Netherlands"
gmb-2023-264896,19-06-2023,"Dapperstraat 108-2, Amsterdam, Netherlands"
gmb-2023-253581,12-06-2023,"Nassaukade 41-2, Amsterdam, Netherlands"
gmb-2023-253518,12-06-2023,"Baarsjesweg 232-1, Amsterdam, Netherlands"
gmb-2023-253461,12-06-2023,"Ruyschstraat 45-1, Amsterdam, Netherlands"
gmb-2023-253531,12-06-2023,"Kijkduinstraat 35-2, Amsterdam, Netherlands"
gmb-2023-253506,12-06-2023,"Oudeschans 23Z, Amsterdam, Netherlands"
gmb-2023-253570,12-06-2023,"Marie Heinekenplein 1101, Amsterdam, Netherlands"
gmb-2023-253551,12-06-2023,"Willem van Konijnenburgstraat 3A, Amsterdam, Netherlands"
gmb-2023-253564,12-06-2023,"Tweede Van der Helststraat 6-2, Amsterdam, Netherlands"
gmb-2023-253545,12-06-2023,"Hogeweg 92-H, Amsterdam, Netherlands"
gmb-2023-253559,12-06-2023,"Gerard Doustraat 147C, Amsterdam, Netherlands"
gmb-2023-253414,12-06-2023,"Herengracht 178, Amsterdam, Netherlands"
gmb-2023-253484,12-06-2023,"Fort Heemstedestraat 51, Amsterdam, Netherlands"
gmb-2023-253465,12-06-2023,"Reinier Claeszenstraat 41-4, Amsterdam, Netherlands"
gmb-2023-253567,12-06-2023,"Frederik Hendrikplantsoen 3-2, Amsterdam, Netherlands"
gmb-2023-253440,12-06-2023,"Govert Flinckstraat 185-1, Amsterdam, Netherlands"
gmb-2023-253479,12-06-2023,"Argonautenstraat 76-2, Amsterdam, Netherlands"
gmb-2023-253523,12-06-2023,"Binnenkant 20F, Amsterdam, Netherlands"
gmb-2023-253568,12-06-2023,"Kuipersstraat 50-3, Amsterdam, Netherlands"
gmb-2023-251414,09-06-2023,"Hunzestraat 73-H, Amsterdam, Netherlands"
gmb-2023-251427,09-06-2023,"Da Costakade 53-H, Amsterdam, Netherlands"
gmb-2023-251275,09-06-2023,"Geuzenkade 91-1, Amsterdam, Netherlands"
gmb-2023-251288,09-06-2023,"Dintelstraat 73, Amsterdam, Netherlands"
gmb-2023-251313,09-06-2023,"Baarsjesweg 300-3, Amsterdam, Netherlands"
gmb-2023-251307,09-06-2023,"Langswater 27, Amsterdam, Netherlands"
gmb-2023-251415,09-06-2023,"Kinkerstraat 278-2, Amsterdam, Netherlands"
gmb-2023-251327,09-06-2023,"Hobbemakade 83-3, Amsterdam, Netherlands"
gmb-2023-251397,09-06-2023,"Willem de Zwijgerlaan 373, Amsterdam, Netherlands"
gmb-2023-251416,09-06-2023,"Admiralengracht 307-1, Amsterdam, Netherlands"
gmb-2023-251467,09-06-2023,"Willy Sluiterstraat 106, Amsterdam, Netherlands"
gmb-2023-251429,09-06-2023,"Marcantilaan 52, Amsterdam, Netherlands"
gmb-2023-251340,09-06-2023,"Da Costakade 135A, Amsterdam, Netherlands"
gmb-2023-251353,09-06-2023,"Wijsmullerstraat 49-H, Amsterdam, Netherlands"
gmb-2023-251347,09-06-2023,"Prinsengracht 678B, Amsterdam, Netherlands"
gmb-2023-251328,09-06-2023,"Burgemeester Röellstraat 6-5, Amsterdam, Netherlands"
gmb-2023-251442,09-06-2023,"Druivenstraat 50, Amsterdam, Netherlands"
gmb-2023-251290,09-06-2023,"Koperslagerij 33, Amsterdam, Netherlands"
gmb-2023-251436,09-06-2023,"Borgerstraat 187-3, Amsterdam, Netherlands"
gmb-2023-251284,09-06-2023,"Admiraal De Ruijterweg 185-4, Amsterdam, Netherlands"
gmb-2023-251449,09-06-2023,"Olifantswerf 1, Amsterdam, Netherlands"
gmb-2023-251341,09-06-2023,"Wilhelminastraat 60-H, Amsterdam, Netherlands"
gmb-2023-251373,09-06-2023,"Griftstraat 6-1, Amsterdam, Netherlands"
gmb-2023-251316,09-06-2023,"Transvaalkade 61, Amsterdam, Netherlands"
gmb-2023-251430,09-06-2023,"Tuinstraat 54, Amsterdam, Netherlands"
gmb-2023-251298,09-06-2023,"Meeuwenlaan 87C, Amsterdam, Netherlands"
gmb-2023-251450,09-06-2023,"Ennemaborg 13, Amsterdam, Netherlands"
gmb-2023-251425,09-06-2023,"Wilhelminastraat 27-4, Amsterdam, Netherlands"
gmb-2023-251273,09-06-2023,"Derde Leliedwarsstraat 4A-2, Amsterdam, Netherlands"
gmb-2023-251438,09-06-2023,"Lutmastraat 8A, Amsterdam, Netherlands"
gmb-2023-251330,09-06-2023,"Leeuwendalersweg 737, Amsterdam, Netherlands"
gmb-2023-251311,09-06-2023,"Elandsstraat 5-2, Amsterdam, Netherlands"
gmb-2023-251318,09-06-2023,"Van Ostadestraat 7-4, Amsterdam, Netherlands"
gmb-2023-251388,09-06-2023,"Vincent van Goghstraat 160, Amsterdam, Netherlands"
gmb-2023-251451,09-06-2023,"Orteliuskade 20-H, Amsterdam, Netherlands"
gmb-2023-251458,09-06-2023,"Venetiëhof 98, Amsterdam, Netherlands"
gmb-2023-251350,09-06-2023,"Keizersgracht 798, Amsterdam, Netherlands"
gmb-2023-251331,09-06-2023,"Nieuwezijds Voorburgwal 290-3, Amsterdam, Netherlands"
gmb-2023-251306,09-06-2023,"Hildebrandstraat 68, Amsterdam, Netherlands"
gmb-2023-249023,08-06-2023,"Rozengracht 61C, Amsterdam, Netherlands"
gmb-2023-249106,08-06-2023,"Van Ostadestraat 2-1, Amsterdam, Netherlands"
gmb-2023-249037,08-06-2023,"Spaarndammerstraat 22C, Amsterdam, Netherlands"
gmb-2023-249088,08-06-2023,"Kogeldistelstraat 15, Amsterdam, Netherlands"
gmb-2023-249050,08-06-2023,"Bestevâerstraat 101-H, Amsterdam, Netherlands"
gmb-2023-249031,08-06-2023,"Heintje Hoekssteeg 7, Amsterdam, Netherlands"
gmb-2023-249114,08-06-2023,"Korte Blekersstraat 19, Amsterdam, Netherlands"
gmb-2023-249026,08-06-2023,"Overtoom 427-1, Amsterdam, Netherlands"
gmb-2023-249109,08-06-2023,"Gerard Doustraat 10-2, Amsterdam, Netherlands"
gmb-2023-249065,08-06-2023,"Lage Klompweg 16d, Amsterdam, Netherlands"
gmb-2023-249053,08-06-2023,"Theodorus Majofskistraat 9-1, Amsterdam, Netherlands"
gmb-2023-249047,08-06-2023,"Maassluisstraat 86, Amsterdam, Netherlands"
gmb-2023-249028,08-06-2023,"Van Walbeeckstraat 27-2, Amsterdam, Netherlands"
gmb-2023-249016,08-06-2023,"Weteringstraat 22A, Amsterdam, Netherlands"
gmb-2023-249010,08-06-2023,"Overtoom 427-1, Amsterdam, Netherlands"
gmb-2023-244059,06-06-2023,"Marco Polostraat 264-3, Amsterdam, Netherlands"
gmb-2023-243910,06-06-2023,"Dintelstraat 75-1, Amsterdam, Netherlands"
gmb-2023-245938,06-06-2023,"Cornelis Anthoniszstraat 9-3V, Amsterdam, Netherlands"
gmb-2023-243898,06-06-2023,"Eerste Atjehstraat 160-H, Amsterdam, Netherlands"
gmb-2023-243879,06-06-2023,"Oostzaanstraat 74, Amsterdam, Netherlands"
gmb-2023-243942,06-06-2023,"Willemsparkweg 103-2, Amsterdam, Netherlands"
gmb-2023-243904,06-06-2023,"Kinkerstraat 3D, Amsterdam, Netherlands"
gmb-2023-245862,06-06-2023,"Ferdinand Bolstraat 139-1, Amsterdam, Netherlands"
gmb-2023-243917,06-06-2023,"Rietlandterras 16, Amsterdam, Netherlands"
gmb-2023-244040,06-06-2023,"Geldersekade 63C, Amsterdam, Netherlands"
gmb-2023-243987,06-06-2023,"Admiralengracht 148-1, Amsterdam, Netherlands"
gmb-2023-245900,06-06-2023,"Rustenburgerstraat 152-1, Amsterdam, Netherlands"
gmb-2023-243860,06-06-2023,"Leidsekade 61-1, Amsterdam, Netherlands"
gmb-2023-243841,06-06-2023,"Van Ostadestraat 112A, Amsterdam, Netherlands"
gmb-2023-244066,06-06-2023,"Conradstraat 132G, Amsterdam, Netherlands"
gmb-2023-244047,06-06-2023,"Heliotroopstraat 9, Amsterdam, Netherlands"
gmb-2023-244028,06-06-2023,"Nieuwendammerdijk 543, Amsterdam, Netherlands"
gmb-2023-244009,06-06-2023,"Rustenburgerstraat 147-3, Amsterdam, Netherlands"
gmb-2023-243854,06-06-2023,"Nieuwe Prinsengracht 5P, Amsterdam, Netherlands"
gmb-2023-246011,06-06-2023,"Zeeburgerkade 1344, Amsterdam, Netherlands"
gmb-2023-243905,06-06-2023,"Eksterstraat 1, Amsterdam, Netherlands"
gmb-2023-243994,06-06-2023,"Sassenheimstraat 18-3, Amsterdam, Netherlands"
gmb-2023-243975,06-06-2023,"Laurierstraat 91-1V, Amsterdam, Netherlands"
gmb-2023-244003,06-06-2023,"Pieter Aertszstraat 87-H, Amsterdam, Netherlands"
